ISO 3166-2 Code,Subdivision Name (es),Poverty,""
PY-16,Alto Paraguay,"",""
PY-10,Alto Paraná,"",""
PY-13,Amambay,"",""
PY-19,Boquerón,"",""
PY-5,Caaguazú,"",""
PY-6,Caazapá,"",""
PY-14,Canindeyú,"",""
PY-11,Central,"",""
PY-1,Concepción,"",""
PY-3,Cordillera,"",""
PY-4,Guairá,"",""
PY-7,Itapúa,"",""
PY-8,Misiones,"",""
PY-12,Ñeembucú,"",""
PY-9,Paraguarí,"",""
PY-15,Presidente Hayes,"",""
PY-2,San Pedro,"",""
UY-AR,Artigas,"",""
UY-CA,Canelones,"",""
UY-CL,Cerro Largo,"",""
UY-CO,Colonia,"",""
UY-DU,Durazno,"",""
UY-FS,Flores,"",""
UY-FD,Florida,"",""
UY-LA,Lavalleja,"",""
UY-MA,Maldonado,"",""
UY-MO,Montevideo,"",""
UY-PA,Paysandú,"",""
UY-RN,Río Negro,"",""
UY-RV,Rivera,"",""
UY-RO,Rocha,"",""
UY-SA,Salto,"",""
UY-SJ,San José,"",""
UY-SO,Soriano,"",""
UY-TA,Tacuarembó,"",""
UY-TT,Treinta y Tres,"",""
VE-W,Dependencias Federales,"",""
VE-A,Distrito Capital,"",""
VE-Z,Amazonas,"",""
VE-B,Anzoátegui,"",""
VE-C,Apure,"",""
VE-D,Aragua,"",""
VE-E,Barinas,"",""
VE-F,Bolívar,"",""
VE-G,Carabobo,"",""
VE-H,Cojedes,"",""
VE-Y,Delta Amacuro,"",""
VE-I,Falcón,"",""
VE-J,Guárico,"",""
VE-K,Lara,"",""
VE-L,Mérida,"",""
VE-M,Miranda,"",""
VE-N,Monagas,"",""
VE-O,Nueva Esparta,"",""
VE-P,Portuguesa,"",""
VE-R,Sucre,"",""
VE-S,Táchira,"",""
VE-T,Trujillo,"",""
VE-X,Vargas,"",""
VE-U,Yaracuy,"",""
VE-V,Zulia,"",""
