"codreg";"subcreg";"coddist";"codserv";"tiposerv";"nomserv";"dire";"dccion";"telef";"email";"area";"unrocons";"unroficha";"activo";"unrolabo";"codigoesta";"observ";"desdemes";"desdeano";"latitud";"longitud";"receta"
"10";".";"010";"131";"USF";"USF-LOS CEDRALES";"";"";"0633-220009";"";"1";"58734";"78";"1";"0";"10010131";"";"7";"2011";"-25.6620278";"-54.7221389";"2"
"13";".";"001";"321";"USF";"USF- BO OBRERO";"LIC. GERENARDA VIANA P.";"";"0972 412969";"";"1";"22177";"67";"1";"0";"13001321";"";"9";"2010";"-22.5633889";"-55.7396667";"2"
"12";".";"009";"307";"USF";"USF- LAURELES";"";"";"0788 221022";"";"1";"44132";"1";"1";"0";"12009307";"                ";"1";"2000";"-27.2456380";"-57.4605720";"2"
"11";".";"010";"236";"HMI";"HMI - M. R. ALONSO";"DR. LUIS LIGGIER";"Boqueron y Cañada Tarija";"021752881";"hospitlamra@hotmail.com";"1";"469764";"20809";"1";"0";"11010236";"          SIMESE N 71217/2016
SIMESE 1381/2013      ";"12";"2013";"-25.2123760";"-57.5365740";"2"
"02";"NOR";"014";"328";"USF";"USF. GENERAL RESQUIN - ESTÁNDAR ";"DR. JAIME MARTINEZ";"";"";"";"1";"53104";"62";"1";"0";"02014328";"                ";"1";"2000";"-24.0631111";"-56.4495556";"2"
"08";".";"010";"348";"USF";"USF- YABEBYRY URBANO - AMPLIADA";"DR. IGNACIO BRIZUELA ";"";"021 - 3271 - 613";"";"1";"20679";"0";"1";"0";"08010348";"S.1595/18            
EXPTE. N° 103/2012      ";"9";"2012";"-27.3804000";"-57.1659100";"2"
"11";".";"011";"353";"PS";"P.S. ISLA GUAVIRA";"";"";"";"";"1";"1151";"0";"1";"0";"11011353";"                ";"1";"2000";NULL;NULL;"2"
"11";".";"002";"215";"USF";"P.MUNI Nº2 YATAITY CÑIA. 5TA - SAN JORGE";"DAYSI JUANITA GIMENEZ MENDIETA";"";NULL;"";"1";"20636";"2448";"1";"0";"11002215";"";"9";"2010";"-25.3663611";"-57.4644444";"2"
"03";".";"018";"335";"PS";"P.S. VILLA DE LAS MERCEDES";"";"";"N/T";"";"1";"11478";"0";"1";"0";"03018335";"                ";"1";"2000";"-25.4227222";"-57.1469167";"2"
"15";".";"004";"350";"USF";"USF- REMANSITO -  SAN JORGE";"DR. CARLOS GUSTAVO MORA";"HERMANA MARIA FELICIA DE JESUS SACRAMENTO";"0981174152";"carlosmora85@hotmail.com";"1";"21540";"0";"1";"0";"15004350";"S. 108886/17                
Expte. No. 404/2011      ";"11";"2011";"-25.1463888";"-57.5514166";"2"
"18";".";"030";"343";"USF";"USF- VIRGEN DE FATIMA";"";".";"N/T";".";"1";"50288";"2";"1";"0";"18030343";"Expte. N° 288";"8";"2011";"-25.2569444";"-57.5911944";"2"
"04";".";"007";"369";"USF";"USF- SANTO DOMINGO - ESTANDAR";"";"";"";"";"1";"17374";"1";"1";"0";"04007369";"          EXPTE. N° 299      ";"8";"2011";NULL;NULL;"2"
"02";"SUR";"016";"329";"USF";"USF. GUAYAIBI I - ESTÁNDAR ";"DR. CARLOS FLORENTIN";"";"0982125827";"";"1";"21394";"0";"1";"0";"02016329";"                ";"1";"2000";"-24.5263611";"-56.4079611";"2"
"04";".";"007";"315";"USF";"USF- SANTA CECILIA - ESTANDAR";"";"";"";"";"1";"29509";"0";"1";"0";"04007315";"                ";"1";"2000";NULL;NULL;"2"
"15";".";"004";"202";"USF";"USF - POZO COLORADO";"DR. RAMON CESAR MARECOS";"AV. GRAL. DIAZ, B° VILLA RURAL";"0976916971";"ramonmareco19@gmail.com";"1";"19756";"0";"1";"0";"15004202";"S. 108886/17";"1";"2010";"-25.3512222";"-57.5847777";"2"
"02";"NOR";"006";"340";"USF";"USF. SGTO. MONTANÍA - ESTANDAR";"DRA. DALMA TORRES";"";"";"";"1";"27588";"1";"1";"0";"02006340";"                ";"1";"2000";"-23.9445000";"-56.4380000";"2"
"14";".";"007";"202";"USF";"USF- PUENTE KYJHA DR.OSCAR SERVIN";"";"";"(0981) 331240 LIC. MARIA ESTEL";"";"1";"29843";"1";"1";"0";"14007202";"";"9";"2010";"-24.1580833";"-54.6701389";"2"
"15";".";"007";"317";"PS";"P.S. SANTA AURELIA";"";"";"";"";"1";"1597";"0";"1";"0";"15007317";"                ";"1";"2010";NULL;NULL;"2"
"18";".";"030";"226";"USF";"USF-PELOPINCHO II - ESTANDAR";"";"";"N/T";"";"1";"6775";"0";"1";"0";"18030226";"          Memo 20/2012      ";"1";"2012";"-25.2825056";"-57.6243889";"2"
"06";".";"008";"216";"CS";"C.S. TAVAI";"";"";"";"";"1";"10870";"0";"1";"0";"06008216";"          Expte. N° 143/2012. se modifica el nombre      ";"1";"2000";"-26.4848470";"-56.3487330";"2"
"15";".";"004";"306";"PS";"P.S. REMANSITO";"DR. NINO PANIAGUA";"";"";"";"1";"30512";"1";"1";"0";"15004306";"          EXPTE. N° 346 (USF) - Expte. No. 404/2011 (P.S.)      ";"11";"2011";"-25.1542580";"-57.5545410";"2"
"11";".";"017";"355";"USF";"USF- PEDROZO";"JORGE ANTONIO CABRERA V.";"";NULL;"";"1";"15552";"68";"1";"0";"11017355";"EXPTE. N° 107/2012";"9";"2012";"-25.3892600";"-57.2113680";"2"
"03";".";"019";"357";"USF";"USF. ÑU GUAZU (OJOPOI) - ESTÁNDAR ";"";"";"(0981)937220";"";"1";"14552";"9";"1";"0";"03019357";"          Expte. N° 359/2011      ";"10";"2011";"-25.5289167";"-56.9265000";"2"
"15";".";"009";"305";"PS";"P.S. CADETE PANDO";"";"";"N/T";"";"1";"6688";"0";"1";"0";"15009305";"                ";"1";"2010";"-24.3991000";"-58.8861000";"2"
"04";".";"001";"339";"USF";"USF- CAROVENI NUEVO - ESTANDAR";"";"";"(0981)557850";"";"1";"28297";"269";"1";"0";"04001339";"                ";"9";"2010";"-25.7910833";"-56.5193889";"2"
"05";".";"001";"342";"PS";"P.S. OLEGARIO";"ADA COHENE";"";"976-342606";"";"1";"1165";"0";"1";"0";"05001342";"                ";"1";"2000";"-25.4322778";"-56.5058889";"2"
"17";".";"004";"340";"USFE";"USFE. SURUBI";"DR. RONALDO ZELADA";"CALLE MA. AUXILIADORA. BARRIO CAACUPE";"0972405181";"ronaldo_zeladadiaz@gmail.com";"1";"6481";"0";"1";"0";"17004340";"          SIMESE N 70887/16      ";"5";"2016";NULL;NULL;"2"
"18";".";"030";"324";"CS";"C.S. Nº 3 - SANTO DOMINGO SAVIO";"TITO CABRERA";"";"493996";"";"1";"37810";"3";"1";"0";"18030324";"";"1";"2000";"-25.2816550";"-57.6438170";"2"
"02";"SUR";"008";"307";"PS";"P.S. VACA JHÚ";"";"";"";"";"1";"4980";"0";"1";"0";"02008307";"                ";"1";"2000";"-24.5953738";"-56.6072628";"2"
"03";".";"004";"350";"USF";"USF. SANJA HU - ESTÁNDAR";"";"";"N/T";"";"1";"13706";"0";"1";"0";"03004350";"          Expte. N° 359/2011      ";"10";"2011";"-25.3281944";"-57.2147778";"2"
"05";".";"007";"360";"USF";"USF-TRIUNFO";"DR. GUIDO GENES";"";"0984-174/433";"";"1";"30450";"1";"1";"0";"05007360";"EXPTE. N° 406/2011";"1";"2000";"-25.6605278";"-55.8398056";"2"
"14";".";"003";"343";"USF";"USF- PASTORAL SOCIAL";"";"";"(0971)261080 (0984)559082";"";"1";"24105";"0";"1";"0";"14003343";"";"9";"2010";"-24.5198611";"-55.5065833";"2"
"11";".";"012";"380";"USF";"USF- PAI ÑU";"JOSE ALBERTO RIVEROS PEREIRA";"";NULL;"";"1";"12351";"336";"1";"0";"11012380";"EXPTE. N° 107/2012";"9";"2012";"-25.3757150";"-57.5420930";"2"
"11";".";"018";"322";"CS";"C.P. YPANE";"";"AV. VILLETA C/ 2 DE MAYO";"275232287; N/T";"";"1";"63303";"1713";"1";"0";"11018322";"                ";"1";"2000";"-25.4582361";"-57.5007500";"2"
"09";".";"005";"291";"USF";"USF- PACHECO";"";"";"N/T";"";"1";"16465";"0";"1";"0";"09005291";"Expte. N° 77/2012";"3";"2012";"-25.7302222";"-57.3915278";"2"
"01";".";"003";"321";"USFE";"USF. CAPITÁN GIMÉNEZ - ESTÁNDAR ";"";"";"N/T";"";"1";"33300";"0";"1";"0";"01003321";"                ";"1";"2010";"-23.3014167";"-56.9615000";"2"
"10";".";"016";"146";"USF";"USF-ASENTAMIENTO LIMOY";"";"";"";"";"1";"37740";"5";"1";"0";"10016146";"";"7";"2011";NULL;NULL;"2"
"14";".";"012";"337";"PS";"NARANJITO";"";"";"";"";"1";"8318";"0";"1";"0";"14012337";"SIMESE N° 5695/2014";"3";"2014";NULL;NULL;"2"
"11";".";"017";"541";"PS";"P.S. ARROYO ESTRELLA";"";".";"N/T";".";"1";"1242";"0";"1";"0";"11017541";"                ";"9";"2012";"-25.4227778";"-57.2930833";"2"
"02";"SUR";"008";"356";"USF";"USF. SAN JOSE OBRERO - ESTÁNDAR ";"";".";"";".";"1";"32821";"0";"1";"0";"02008356";"                ";"4";"2011";"-24.6141667";"-56.3941667";"2"
"03";".";"007";"326";"USF";"USF. AGUAITY - ESTÁNDAR ";"";"";"N/T";"";"1";"49744";"91";"1";"0";"03007326";"                ";"1";"2000";"-25.3711667";"-57.0216667";"2"
"14";".";"004";"330";"USF";"USF- KOE PORA";"";"";"N/T";"";"1";"28584";"0";"1";"0";"14004330";"";"1";"2000";"-24.4180556";"-55.7211944";"2"
"03";".";"001";"339";"USF";"USF. AQUINO CAÑADA - ESTÁNDAR ";"DR. MATIAS BENITEZ";"";"0986402588";"";"1";"31389";"122";"1";"0";"03001339";"          Expte. N° 476/2013      ";"4";"2013";"-25.4125780";"-57.1249580";"2"
"07";".";"024";"354";"USF";"USF- CRUCE GUAYAPOY";"";"";"N/T";"";"1";"49600";"0";"1";"0";"07024354";"";"1";"2000";"-26.8218889";"-55.3674444";"2"
"05";".";"001";"313";"PS";"P.S. COLONIA MONTANARO";"INACTIVO";"";"";"";"1";"4862";"0";"1";"0";"05001313";"          SIMESE N 58161/16 - rehabilitacion
Expte. N° 406/2011      ";"1";"2000";"-25.4425543";"-56.1899341";"2"
"17";".";"004";"333";"CS";"C.S. CARMELO PERALTA";"";"";"";"";"1";"9245";"0";"1";"0";"17004333";"          S. 10886/17--SIMESE N 70887/16      ";"5";"2016";"-21.6858333";"-57.9025000";"2"
"02";"NOR";"018";"512";"PS";"PS KORORO - I";"LILIAN GONZALEZ";"";"0973819373";"";"1";"2688";"0";"1";"0";"02018512";"                ";"1";"2000";"-23.8011111";"-56.3638889";"2"
"03";".";"018";"333";"USF";"USF. MOMPOX - ESTÁNDAR ";"";".";"N/T";".";"1";"29785";"0";"1";"0";"03018333";"                ";"1";"2010";"-25.2362500";"-56.9706667";"2"
"11";".";"019";"328";"CS";"C.S. J. AUGUSTO SALDIVAR";"";"";"";"";"1";"28851";"10455";"1";"0";"11019328";"          SIMESE 1381/2013      ";"12";"2013";NULL;NULL;"2"
"11";".";"002";"213";"USF";"USF-POLICLINICA DEPARTAMENTAL 15 DE MAYO";"JUAN MANUEL DE LUCA";"";NULL;"";"1";"38576";"1852";"1";"0";"11002213";"";"9";"2010";"-25.3641944";"-57.4085556";"2"
"03";".";"002";"342";"USF";"USF. ITAGASA- ESTÁNDAR ";"";".";"N/T";".";"1";"10766";"16";"1";"0";"03002342";"                ";"1";"2010";"-25.2533889";"-57.2836111";"2"
"17";".";"002";"319";"USFE";"USFE. RIACHO MOSQUITO";"DR. CARLOS BUSTO";"DON BOSCO";"0972439546";"busto99@hotmail.com";"1";"11758";"754";"1";"0";"17002319";"          S. 108886/17
Expte. N° 111/2012      ";"3";"2012";"-22.2869444";"-57.9497222";"2"
"14";".";"014";"335";"USF";"USF-MARACANA 3ER. ENCUADRE";"";"";"";"";"1";"13963";"977";"1";"0";"14014335";"SIMESE N°54973/17";"4";"2017";NULL;NULL;"2"
"03";".";"001";"330";"USF";"USF. CABAÑAS I -  ESTÁNDAR ";"DRA. ADA BENITEZ";"";"N/T";"";"1";"53296";"280";"1";"0";"03001330";"          - HACIA EL CERRO CAACUPE KM 48 -
EXPTE. N° 98 Y 107/2012      ";"1";"2000";"-25.3711944";"-57.1785000";"2"
"06";".";"004";"324";"CS";"C.S. MOISÉS BERTONI";"SANDRA OVIEDO";"A";"0982-181052";"";"1";"14377";"28";"1";"0";"06004324";"                ";"1";"2000";"-26.3591389";"-56.4855278";"2"
"05";".";"016";"356";"PS";"P.S. SANTA TERESA";"DR. GUSTAVO RAMÓN WIEGERT OSOSRIO";"";"0971-438/943";"";"1";"9311";"16";"1";"0";"05016356";"                ";"1";"2000";"-25.2447980";"-55.0743830";"2"
"14";".";"010";"209";"PS";"NUEVA ESPERANZA";"";"";"";"";"1";"11046";"0";"1";"0";"14010209";"SIMESE N 79161/2016";"6";"2016";NULL;NULL;"2"
"02";"SUR";"012";"312";"USF";"USF. 25 DE DICIEMBRE - ESTÁNDAR ";"DR. CASIMIRO DELORME";"";"0973668196";"";"1";"32604";"0";"1";"0";"02012312";"                ";"1";"2000";"-24.8127580";"-56.7267470";"2"
"18";".";"030";"302";"USFE";"USF- SAN FELIPE - ESTANDAR";"PEDRO VENIALGO";"";"N/T";"";"1";"57613";"0";"1";"0";"18030302";"          Expte. N° 288      ";"8";"2011";"-25.2793000";"-57.6171620";"2"
"16";".";"005";"330";"PS";"P.S. CRUCE BOQUERON";".";".";".";".";"1";"10283";"0";"1";"0";"16005330";"                ";"1";"2010";NULL;NULL;"2"
"11";".";"001";"395";"USF";"USF- VILLAR SALVADOR";"CARMEN LILIANA ORTIZ MARTINEZ";"";NULL;"";"1";"13523";"0";"1";"0";"11001395";"SIMESE 31966/2014";"10";"2014";"-25.3066510";"-57.4127910";"2"
"03";".";"010";"346";"USF";"USF. LOMA HOVY - ESTÁNDAR ";"";"";"N/T";"";"1";"24019";"0";"1";"0";"03010346";"          Expte. N° 359/2011      ";"10";"2011";"-25.0777778";"-56.5691944";"2"
"03";".";"009";"204";"CS";"C.S. ITACURUBI DE LA CORDILLERA";"DR. HUGO CAÑETE";"4TA. PROYECTADA C/ 14 DE MAYO";"0518 20050";"";"1";"52558";"125";"1";"0";"03009204";"                ";"1";"2000";"-25.4653333";"-56.8518889";"2"
"11";".";"016";"383";"USF";"USF- NARANJA ISY";"VICTOR HUGO ECHAURI MARTINEZ";"";NULL;"";"1";"7222";"357";"1";"0";"11016383";"Expte. /2012";"5";"2012";"-25.5106050";"-57.5023180";"2"
"01";".";"001";"571";"DISP";"D.M. JHUGUA GONZALEZ";".";".";".";".";"1";"3871";"0";"1";"0";"01001571";"          pertenece al distrito 1 a partir del año 2010      ";"1";"2000";NULL;NULL;"2"
"03";".";"014";"304";"PS";"P.S. COLONIA PIRARETA";"";"";"N/T";"";"1";"4432";"0";"1";"0";"03014304";"                ";"1";"2000";"-25.5018333";"-56.9696389";"2"
"11";".";"019";"545";"USF";"USF- TOLEDO CAÑADA";"JOSÉ PABLINO GONZÁLEZ BLANCO";".";NULL;".";"1";"14294";"96";"1";"0";"11019545";"";"1";"2010";"-25.4090310";"-57.4275540";"2"
"09";".";"007";"222";"HD";"H.D.- LA COLMENA";"DR. LUIS GONZALEZ";"Antonio Kazamatzu c/Villarrica";"0537223234";"hdlacolmena@gmail.com";"1";"24315";"1";"1";"0";"09007222";"SIMESE N° 71217/16
Expte. N° 77/2012";"1";"2000";"-25.8836111";"-56.8362777";"2"
